RAh,RAm,RAs,DEg,DEm,Des,Mag,Name
00,26,17.0, -42,18,22, 2.39, AL PHE
21,44,11.1, +09,52,30, 2.39, EP PEG
17,42,29.1, -39,01,48, 2.41, KA SCO
23,03,46.4, +28,04,58, 2.42, BE PEG
17,10,22.6, -15,43,29, 2.43, ET OPH
11,53,49.8, +53,41,41, 2.44, GA UMA
21,18,34.7, +62,35,08, 2.44, AL CEP
07,24, 5.6, -29,18,11, 2.45, ET CMA
20,46,12.6, +33,58,13, 2.46, EP CYG
00,56,42.4, +60,43,00, 2.47, GA CAS
23,04,45.6, +15,12,19, 2.49, AL PEG
09,22, 6.8, -55,00,38, 2.50, KA VEL
03,02,16.7, +04,05,23, 2.53, AL CET
13,55,32.3, -47,17,18, 2.55, ZE CEN
11,14, 6.4, +20,31,25, 2.56, DE LEO
16,37, 9.4, -10,34,02, 2.56, ZE OPH
05,32,43.7, -17,49,20, 2.58, AL LEP
12,15,48.3, -17,32,31, 2.59, GA CRV
12,08,21.5, -50,43,20, 2.60, DE CEN
19,02,36.6, -29,52,49, 2.60, ZE SGR
10,19,58.3, +19,50,30, 2.61, GA1 LEO
15,17, 0.3, -09,22,59, 2.61, BE LIB
05,59,43.2, +37,12,45, 2.62, TH AUR
16,05,26.1, -19,48,19, 2.62, BE1 SCO
01,54,38.3, +20,48,29, 2.64, BE ARI
05,39,38.9, -34,04,27, 2.64, AL COL
12,34,23.2, -23,23,48, 2.65, BE CRV
15,44,16.0, +06,25,32, 2.65, AL SER
01,25,48.9, +60,14,07, 2.68, DE CAS
13,54,41.0, +18,23,52, 2.68, ET BOO
14,58,31.8, -43,08,02, 2.68, BE LUP
04,56,59.6, +33,09,58, 2.69, JO AUR
10,46,46.1, -49,25,12, 2.69, MY VEL
12,37,11.0, -69,08,08, 2.69, AL MUS
17,30,45.7, -37,17,45, 2.69, YP SCO
07,17, 8.5, -37,05,51, 2.70, PI PUP
14,44,59.1, +27,04,27, 2.70, EP BOO
18,20,59.6, -29,49,41, 2.70, DE SGR
19,46,15.5, +10,36,48, 2.72, GA AQL
16,14,20.6, -03,41,40, 2.74, DE OPH
16,23,59.3, +61,30,51, 2.74, ET DRA
13,20,35.7, -36,42,44, 2.75, JO CEN
14,50,52.6, -16,02,31, 2.75, AL2 LIB
10,42,57.4, -64,23,40, 2.76, TH CAR
05,35,25.9, -05,54,36, 2.77, JO ORI
16,30,13.1, +21,29,22, 2.77, BE HER
17,43,28.3, +04,34,02, 2.77, BE OPH
15,35, 8.3, -41,10,00, 2.78, GA LUP
05,07,50.9, -05,05,11, 2.79, BE ERI
17,30,25.8, +52,18,05, 2.79, BE DRA
00,25,45.3, -77,15,16, 2.80, BE HYI
12,15, 8.6, -58,44,56, 2.80, DE CRU
08,07,32.6, -24,18,15, 2.81, RH PUP
16,41,17.1, +31,36,10, 2.81, ZE HER
18,27,58.1, -25,25,18, 2.81, LA SGR
16,35,52.9, -28,12,58, 2.82, TA SCO
00,13,14.1, +15,11,01, 2.83, GA PEG
13,02,10.5, +10,57,33, 2.83, EP VIR
05,28,14.7, -20,45,34, 2.84, BE LEP
03,54, 7.9, +31,53,01, 2.85, ZE PER
15,55, 8.4, -63,25,50, 2.85, BE TRA
17,25,17.9, -55,31,47, 2.85, BE ARA
01,58,46.2, -61,34,12, 2.86, AL HYI
22,18,30.1, -60,15,35, 2.86, AL TUC
03,47,29.0, +24,06,18, 2.87, ET TAU
19,44,58.4, +45,07,51, 2.87, DE CYG
21,47, 2.3, -16,07,38, 2.87, DE CAP
06,22,57.6, +22,30,49, 2.88, MY GEM
03,57,51.2, +40,00,37, 2.89, EP PER
15,18,54.6, -68,40,46, 2.89, GA TRA
15,58,51.0, -26,06,51, 2.89, PI SCO
16,21,11.2, -25,35,34, 2.89, SI SCO
19,09,45.7, -21,01,25, 2.89, PI SGR
07,27, 9.0, +08,17,21, 2.90, BE CMI
12,56, 1.6, +38,19,06, 2.90, AL2 CVN
21,31,33.4, -05,34,16, 2.91, BE AQR
03,04,47.7, +53,30,23, 2.93, GA PER
06,49,56.1, -50,36,53, 2.93, TA PUP
22,43, 0.1, +30,13,17, 2.94, ET PEG
03,58, 1.7, -13,30,31, 2.95, GA ERI
12,29,51.8, -16,30,56, 2.95, DE CRV
17,31,50.4, -49,52,34, 2.95, AL ARA
09,47, 6.1, -65,04,18, 2.96, YP CAR
22,05,46.9, -00.001,19,11, 2.96, AL AQR
06,43,55.9, +25,07,52, 2.98, EP GEM
09,45,51.0, +23,46,27, 2.98, EP LEO
05,01,58.1, +43,49,24, 2.99, EP AUR
18,05,48.4, -30,25,27, 2.99, GA2 SGR
19,05,24.5, +13,51,48, 2.99, ZE AQL
02,09,32.5, +34,59,14, 3.00, BE TRI
05,37,38.6, +21,08,33, 3.00, ZE TAU
12,10, 7.4, -22,37,11, 3.00, EP CRV
13,18,55.2, -23,10,18, 3.00, GA HYA
03,42,55.4, +47,47,15, 3.01, DE PER
11,09,39.7, +44,29,54, 3.01, PS UMA
21,53,55.6, -37,21,54, 3.01, GA GRU
06,20,18.7, -30,03,48, 3.02, ZE CMA
07,03, 1.4, -23,50,00, 3.02, OK2 CMA
14,32, 4.6, +38,18,29, 3.03, GA BOO
17,47,35.0, -40,07,37, 3.03, JO1 SCO
02,19,20.7, -02,58,39, 3.04, OK CET
13,49,36.9, -42,28,26, 3.04, MY CEN
10,22,19.7, +41,29,58, 3.05, MY UMA
12,46,16.9, -68,06,29, 3.05, BE MUS
15,20,43.6, +71,50,02, 3.05, GA UMI
19,12,33.1, +67,39,42, 3.07, DE DRA
16,51,52.1, -38,02,51, 3.08, MY1 SCO
19,30,43.2, +27,57,35, 3.08, BE1 CYG
20,21, 0.6, -14,46,53, 3.08, BE CAP
08,55,23.6, +05,56,44, 3.11, ZE HYA
10,49,37.4, -16,11,37, 3.11, NY HYA
18,17,37.5, -36,45,42, 3.11, ET SGR
20,37,34.0, -47,17,29, 3.11, AL IND
05,50,57.5, -35,46,06, 3.12, BE COL
09,21, 3.2, +34,23,33, 3.13, AL LYN
09,31,13.3, -57,02,04, 3.13,
11,35,46.8, -63,01,11, 3.13, LA CEN
14,59, 9.6, -42,06,15, 3.13, KA CEN
16,58,37.1, -55,59,24, 3.13, ZE ARA
08,59,12.4, +48,02,30, 3.14, JO UMA
17,15, 1.8, +24,50,21, 3.14, DE HER
17,15, 2.7, +36,48,33, 3.16, PI HER
05,06,30.8, +41,14,04, 3.17, ET AUR
06,37,45.6, -43,11,45, 3.17, NY PUP
09,32,51.3, +51,40,38, 3.17, TH UMA
17,08,47.1, +65,42,53, 3.17, ZE DRA
18,45,39.3, -26,59,27, 3.17, PH SGR
04,49,50.3, +06,57,41, 3.19, PI3 ORI
05,05,27.6, -22,22,16, 3.19, EP LEP
14,42,30.3, -64,58,31, 3.19, AL CIR
16,57,40.0, +09,22,30, 3.20, KA OPH
21,12,56.1, +30,13,37, 3.20, ZE CYG
17,49,51.4, -37,02,36, 3.21,
23,39,20.8, +77,37,57, 3.21, GA CEP
15,21,22.2, -40,38,52, 3.22, DE LUP
20,11,18.2, -00.001,49,17, 3.23, TH AQL
21,28,39.5, +70,33,39, 3.23, BE CEP
03,47,14.5, -74,14,21, 3.24, GA HYI
16,18,19.2, -04,41,33, 3.24, EP OPH
18,58,56.5, +32,41,22, 3.24, GA LYR
07,29,13.8, -43,18,05, 3.25, SI PUP
18,21,18.5, -02,53,56, 3.26, ET SER
00,39,19.6, +30,51,40, 3.27, DE AND
04,33,59.8, -55,02,42, 3.27, AL DOR
06,48,11.4, -61,56,29, 3.27, AL PIC
14,06,22.2, -26,40,56, 3.27, PI HYA
17,22, 0.5, -24,59,58, 3.27, TH OPH
22,54,38.9, -15,49,15, 3.27, DE AQR
06,14,52.6, +22,30,24, 3.28, ET GEM
15,04, 4.1, -25,16,55, 3.29, SI LIB
15,24,55.6, +58,57,57, 3.29, JO DRA
01,06, 5.0, -46,43,08, 3.31, BE PHE
05,12,55.8, -16,12,20, 3.31, MY LEP
12,15,25.5, +57,01,57, 3.31, DE UMA
10,13,44.3, -70,02,16, 3.32, OM CAR
10,32, 1.4, -61,41,07, 3.32,
19,06,56.3, -27,40,14, 3.32, TA SGR
17,12, 9.1, -43,14,21, 3.33, ET SCO
07,49,17.6, -24,51,35, 3.34, XI PUP
11,14,14.3, +15,25,46, 3.34, TH LEO
17,25,23.5, -56,22,39, 3.34, GA ARA
17,59, 1.5, -09,46,25, 3.34, NY OPH
04,14,25.5, -62,28,26, 3.35, AL RET
22,10,51.2, +58,12,05, 3.35, ZE CEP
05,24,28.6, -02,23,49, 3.36, ET ORI
06,45,17.3, +12,53,44, 3.36, XI GEM
08,30,15.8, +60,43,05, 3.36, OK UMA
19,25,29.8, +03,06,53, 3.36, DE AQL
13,34,41.5, -00.001,35,46, 3.37, ZE VIR
15,22,40.8, -44,41,22, 3.37, EP LUP
01,54,23.6, +63,40,13, 3.38, EP CAS
08,46,46.5, +06,25,08, 3.38, EP HYA
12,55,36.1, +03,23,51, 3.38, DE VIR
03,05,10.5, +38,50,25, 3.39, RH PER
04,28,39.7, +15,52,15, 3.40, TH2 TAU
10,17, 4.9, -61,19,56, 3.40,
22,41,27.6, +10,49,53, 3.40, ZE PEG
01,28,21.9, -43,19,06, 3.41, GA PHE
01,53, 4.8, +29,34,44, 3.41, AL TRI
13,49,30.2, -41,41,16, 3.41, NY CEN
15,12,17.0, -52,05,57, 3.41, ZE LUP
16,00, 7.2, -38,23,49, 3.41, ET LUP
02,58,15.6, -40,18,17, 3.42, TH1 ERI
17,46,27.5, +27,43,15, 3.42, MY HER
20,44,57.4, -66,12,11, 3.42, BE PAV
20,45,17.3, +61,50,20, 3.43, ET CEP
00,49, 6.0, +57,48,58, 3.44, ET CAS
09,10,57.9, -58,58,01, 3.44,
10,16,41.3, +23,25,02, 3.44, ZE LEO
19,06,14.8, -04,52,57, 3.44, LA AQL
01,08,35.3, -10,10,56, 3.45, ET CET
10,17, 5.7, +42,54,52, 3.45, LA UMA
18,50, 4.7, +33,21,46, 3.45, BE LYR
02,43,18.0, +03,14,09, 3.47, GA CET
04,00,40.8, +12,29,25, 3.47, LA TAU
07,01,43.1, -27,56,06, 3.47, SI CMA
07,56,46.7, -52,58,56, 3.47, CH CAR
15,15,30.1, +33,18,53, 3.47, DE BOO
19,58,45.3, +19,29,32, 3.47, GA SGE
11,18,28.7, +33,05,39, 3.48, NY UMA
17,14,38.8, +14,23,25, 3.48, AL1 HER
22,50, 0.1, +24,36,06, 3.48, MY PEG
22,48,33.2, -51,19,01, 3.49, EP GRU
01,44, 4.0, -15,56,15, 3.50, TA CET
15,01,56.6, +40,23,26, 3.50, BE BOO
18,26,58.3, -45,58,06, 3.51, AL TEL
18,57,43.7, -21,06,24, 3.51, XI2 SGR
08,16,30.9, +09,11,08, 3.52, BE CNC
09,41, 9.0, +09,53,32, 3.52, OK LEO
10,07,19.9, +16,45,45, 3.52, ET LEO
22,49,40.7, +66,12,02, 3.52, JO CEP
04,28,36.9, +19,10,49, 3.53, EP TAU
07,20, 7.3, +21,58,56, 3.53, DE GEM
15,49,37.1, -03,25,49, 3.53, MY SER
16,42,53.7, +38,55,20, 3.53, ET HER
22,10,11.9, +06,11,52, 3.53, TH PEG
03,43,14.8, -09,45,48, 3.54, DE ERI
09,56,51.7, -54,34,04, 3.54, PH VEL
11,33, 0.1, -31,51,27, 3.54, XI HYA
17,37,35.1, -15,23,55, 3.54, XI SER
05,46,57.3, -14,49,19, 3.55, ZE LEP
14,19,24.1, -46,03,28, 3.55, JO LUP
00,19,25.6, -08,49,26, 3.56, JO CET
02,16,30.6, -51,30,44, 3.56, PH ERI
04,17,53.6, -33,47,54, 3.56, YP4 ERI
11,19,20.4, -14,46,43, 3.56, DE CRT
15,21,48.3, -36,15,41, 3.56, PH1 LUP
20,08,43.2, -66,10,56, 3.56, DE PAV
01,37,59.5, +48,37,42, 3.57, 51 AND
07,44,26.8, +24,23,53, 3.57, KA GEM
16,52,20.0, -38,01,03, 3.57, MY2 SCO
18,21, 3.2, +72,43,58, 3.57, CH DRA
20,18, 3.2, -12,32,42, 3.57, AL2 CAP
07,18, 5.5, +16,32,25, 3.58, LA GEM
14,31,49.7, +30,22,17, 3.58, RH BOO
15,37, 1.4, -28,08,06, 3.58, YP LIB
12,21,21.5, -60,24,04, 3.59, EP CRU
01,24, 1.3, -08,11,01, 3.60, TH CET
03,24,48.7, +09,01,44, 3.60, OK TAU
05,17,36.3, -06,50,40, 3.60, TA ORI
05,44,27.8, -22,26,54, 3.60, GA LEP
06,52,47.3, +33,57,40, 3.60, TH GEM
09,03,37.5, +47,09,24, 3.60, KA UMA
09,30,41.9, -40,28,00, 3.60, PS VEL
07,45,15.2, -37,58,07, 3.61,
10,10,35.2, -12,21,15, 3.61, LA HYA
11,50,41.6, +01,45,53, 3.61, BE VIR
01,31,28.9, +15,20,45, 3.62, ET PSC
08,40,17.6, -52,55,19, 3.62, OK VEL
13,02,16.3, -71,32,56, 3.62, DE MUS
16,54,34.9, -42,21,41, 3.62, ZE2 SCO
17,31, 5.9, -60,41,01, 3.62, DE ARA
17,45,43.9, -64,43,26, 3.62, ET PAV
23,01,55.2, +42,19,34, 3.62, OK AND
02,49,59.0, +27,15,38, 3.63, 41 ARI
03,49, 9.7, +24,03,12, 3.63, 27 TAU
20,37,32.9, +14,35,43, 3.63, BE DEL
11,45,36.4, -66,43,43, 3.64, LA MUS
04,19,47.5, +15,37,39, 3.65, GA TAU
12,41,39.5, -01,26,58, 3.65, GA VIR
14,04,23.2, +64,22,33, 3.65, AL DRA
20,54,48.5, -58,27,15, 3.65, BE IND
00,36,58.2, +53,53,49, 3.66, ZE CAS
05,35, 8.2, +09,56,03, 3.66, LA ORI
15,38,39.3, -29,46,40, 3.66, TA LIB
18,06,37.7, -50,05,30, 3.66, TH ARA
23,09,26.7, -21,10,21, 3.66, 88 AQR
09,31,31.7, +63,03,43, 3.67, 23 UMA
15,46,11.2, +15,25,18, 3.67, BE SER
08,43,35.5, -33,11,11, 3.68, AL PYX
12,41,39.5, -01,26,58, 3.68, GA VIR
15,27,49.7, +29,06,20, 3.68, BE CRB
21,40, 5.4, -16,39,45, 3.68, GA CAP
03,19,30.9, -21,45,28, 3.69, TA4 ERI
04,51,12.3, +05,36,18, 3.69, PI4 ORI
09,45,14.8, -62,30,28, 3.69,
23,17, 9.9, +03,16,56, 3.69, GA PSC
01,55,57.4, -51,36,32, 3.70, CH ERI
03,44,52.5, +24,06,48, 3.70, 17 TAU
17,57,45.8, +29,14,52, 3.70, XI HER
05,56,24.2, -14,10,04, 3.71, ET LEP
11,46, 3.0, +47,46,46, 3.71, CH UMA
15,50,48.9, +04,28,40, 3.71, EP SER
19,55,18.7, +06,24,24, 3.71, BE AQL
04,54,15.0, +02,26,26, 3.72, PI5 ORI
05,59,31.6, +54,17,05, 3.72, DE AUR
14,46,14.9, +01,53,34, 3.72, 109 VIR
21,04,55.8, +43,55,40, 3.72, XI CYG
21,14,47.4, +38,02,44, 3.72, TA CYG
01,51,27.5, -10,20,06, 3.73, ZE CET
03,32,55.8, -09,27,30, 3.73, EP ERI
07,52,13.0, -40,34,33, 3.73,
18,07,20.9, +09,33,50, 3.73, 72 OPH
03,27,10.1, +09,43,58, 3.74, XI TAU
21,26,39.9, -22,24,41, 3.74, ZE CAP
22,52,36.8, -07,34,47, 3.74, LA AQR
05,02,28.6, +41,04,33, 3.75, ZE AUR
09,04, 9.2, -47,05,52, 3.75,
16,21,55.1, +19,09,11, 3.75, GA HER
17,47,53.5, +02,42,26, 3.75, GA OPH
17,53,31.6, +56,52,21, 3.75, XI DRA
22,29,10.2, +58,24,55, 3.75, DE CEP
02,50,41.8, +55,53,44, 3.76, ET PER
04,22,56.0, +17,32,33, 3.76, DE1 TAU
05,33,37.5, -62,29,24, 3.76, BE DOR
16,49,47.0, -59,02,29, 3.76, ET ARA
21,41,28.6, -77,23,24, 3.76, NY OCT
22,07, 0.6, +25,20,42, 3.76, JO PEG
03,45,11.6, +42,34,43, 3.77, NY PER
08,25,44.3, -66,08,13, 3.77, BE VOL
19,04,40.9, -21,44,30, 3.77, OK SGR
19,17, 6.0, +53,22,07, 3.77, KA CYG
20,39,38.2, +15,54,43, 3.77, AL DEL
20,47,40.5, -09,29,45, 3.77, EP AQR
22,31,17.4, +50,16,57, 3.77, AL LAC
07,08,45.0, -70,29,57, 3.78, GA2 VOL
10,53,29.6, -58,51,12, 3.78,
07,04, 6.5, +20,34,13, 3.79, ZE GEM
07,25,43.5, +27,47,53, 3.79, JO GEM
19,29,42.2, +51,43,47, 3.79, JO2 CYG
20,13,37.8, +46,44,29, 3.79, 31 CYG
03,09,29.7, +44,51,27, 3.80, KA PER
09,50,59.3, +59,02,19, 3.80, YP UMA
10,19,58.6, +19,50,25, 3.80, GA2 LEO
15,34,48.0, +10,32,15, 3.80, DE SER
15,34,48.1, +10,32,21, 3.80, DE SER
17,39,27.8, +46,00,23, 3.80, JO HER
05,38,44.7, -02,36,00, 3.81, SI ORI
05,51,19.2, -20,52,45, 3.81, DE LEP
10,26, 5.4, -16,50,11, 3.81, MY HYA
04,35,33.0, -30,33,45, 3.82, YP2 ERI
09,18,50.6, +36,48,09, 3.82, 38 LYN
10,27,52.7, -58,44,22, 3.82,
16,30,54.7, +01,59,02, 3.82, LA OPH
19,47,23.2, +18,32,03, 3.82, DE SGE
23,37,33.8, +46,27,30, 3.82, LA AND
03,44,19.1, +32,17,18, 3.83, OK PER
10,53,18.6, +34,12,53, 3.83, 46 LMI
13,58,16.2, -42,06,03, 3.83, PH CEN
14,47,51.6, -79,02,41, 3.83, AL APS
18,07,32.5, +28,45,45, 3.83, OK HER
19,48,10.3, +70,16,04, 3.83, EP DRA
04,28,34.4, +15,57,44, 3.84, TH1 TAU
08,40,37.6, -46,38,55, 3.84,
08,55, 2.8, -60,38,40, 3.84,
10,37,18.0, -48,13,33, 3.84,
11,31,24.2, +69,19,52, 3.84, LA DRA
15,42,44.5, +26,17,44, 3.84, GA CRB
18,23,41.8, +21,46,11, 3.84, 109 HER
22,21,39.3, -01,23,14, 3.84, GA AQR
03,44,12.0, -64,48,26, 3.85, BE RET
05,47,17.1, -51,03,59, 3.85, BE PIC
06,22, 6.7, -33,26,11, 3.85, DE COL
07,14,48.6, -26,46,22, 3.85, OM CMA
10,14,44.1, -42,07,19, 3.85,
10,32,48.6, +09,18,24, 3.85, RH LEO
15,56,27.1, +15,39,42, 3.85, GA SER
16,15,26.2, -63,41,08, 3.85, DE TRA
18,35,12.3, -08,14,39, 3.85, AL SCT
04,14, 0.1, -42,17,40, 3.86, AL HOR
12,37,42.1, -48,32,28, 3.86, TA CEN
17,56,15.1, +37,15,02, 3.86, TH HER
18,13,45.7, -21,03,32, 3.86, MY SGR
00,56,45.1, +38,29,58, 3.87, MY AND
03,12, 4.2, -28,59,14, 3.87, AL FOR
03,45,49.5, +24,22,04, 3.87, 20 TAU
04,38,10.7, -14,18,15, 3.87, 53 ERI
05,31,12.7, -35,28,14, 3.87, EP COL
06,54, 7.8, -24,11,02, 3.87, OK1 CMA
12,32,28.0, -72,07,58, 3.87, GA MUS
12,33,28.9, +69,47,17, 3.87, KA DRA
13,58,40.7, -44,48,13, 3.87, YP1 CEN
15,11,56.0, -48,44,16, 3.87, KA1 LUP
00,09,24.6, -45,44,51, 3.88, EP PHE
09,14,21.8, +02,18,51, 3.88, TH HYA
09,52,45.8, +26,00,25, 3.88, MY LEO
13,31, 2.6, -39,24,26, 3.88,
14,43, 3.5, -05,39,30, 3.88, MY VIR
15,56,53.0, -29,12,50, 3.88, RH SCO
02,56,25.6, -08,53,53, 3.89, ET ERI
11,21, 0.4, -54,29,27, 3.89, PI CEN
12,19,54.3, -00.001,40,00, 3.89, ET VIR
16,19,44.3, +46,18,48, 3.89, TA HER
16,33,27.1, -78,53,49, 3.89, GA APS
19,56,18.3, +35,05,00, 3.89, ET CYG
08,25,39.6, -03,54,23, 3.90,
19,52,28.3, +01,00,20, 3.90, ET AQL
23,10,21.5, -45,14,48, 3.90, JO GRU
04,03, 9.3, +05,59,22, 3.91, NY TAU
08,46, 1.7, -46,02,30, 3.91,
09,39,51.3, -01,08,34, 3.91, JO HYA
11,08,35.3, -58,58,30, 3.91,
12,28, 2.3, -50,13,51, 3.91, SI CEN
15,35,31.5, -14,47,22, 3.91, GA LIB
01,08,23.0, -55,14,45, 3.92, ZE PHE
17,00,17.3, +30,55,35, 3.92, EP HER
21,15,49.3, +05,14,52, 3.92, AL EQU
04,36,19.1, -03,21,09, 3.93, NY ERI
07,41,14.8, -09,33,04, 3.93, AL MON
19,21,40.3, -17,50,50, 3.93, RH1 SGR
00,26,12.1, -43,40,48, 3.94, KA PHE
08,44,41.0, +18,09,15, 3.94, DE CNC
11,23,55.4, +10,31,45, 3.94, JO LEO
20,57,10.3, +41,10,02, 3.94, NY CYG
01,31,15.0, -49,04,22, 3.95, DE PHE
02,54,15.4, +52,45,45, 3.95, TA PER
06,36,41.0, -19,15,22, 3.95, NY2 CMA
07,41,49.3, -72,36,22, 3.95, ZE VOL
13,23,56.3, +54,55,18, 3.95, ZE UMA
15,50,57.4, -33,37,38, 3.95, CH LUP
22,46,31.8, +23,33,56, 3.95, LA PEG
04,24, 2.1, -34,01,01, 3.96, 43 ERI
05,59, 8.7, -42,48,55, 3.96, ET COL
06,49,50.4, -32,30,31, 3.96, KA CMA
07,43,48.4, -28,57,18, 3.96, 3 PUP
12,11,39.1, -52,22,06, 3.96, RH CEN
16,06,48.3, -20,40,09, 3.96, OM1 SCO
20,00,35.4, -72,54,38, 3.96, EP PAV
05,51,29.3, +39,08,55, 3.97, NY AUR
08,40, 6.2, -35,18,29, 3.97, BE PYX
09,00,38.3, +41,46,58, 3.97,
09,11,16.7, -62,19,02, 3.97,
18,00,38.6, +02,55,53, 3.97, 67 OPH
19,23,53.0, -40,36,58, 3.97, AL SGR
22,29,16.1, -43,29,45, 3.97, DE1 GRU
23,22,58.1, -20,06,02, 3.97, 98 AQR
02,03,26.0, +72,25,17, 3.98, 50 CAS
06,14,51.3, -06,16,29, 3.98, GA MON
07,16,49.8, -67,57,27, 3.98, DE VOL
20,15,28.2, +47,42,52, 3.98, 32 CYG
23,17,25.7, -58,14,08, 3.99, GA TUC
02,53,52.8, -49,53,25, 4.0 ,
02,00, 0.2, -21,04,40, 4.00, YP CET
09,02,26.9, -66,23,46, 4.00, AL VOL
10,24,23.7, -74,01,54, 4.00,
14,41,57.5, -37,47,37, 4.00,
02,17,18.8, +33,50,50, 4.01, GA TRI
08,50,31.9, -27,42,36, 4.01, GA PYX
13,25,13.4, +54,59,17, 4.01, 80 UMA
16,01,53.2, +58,33,55, 4.01, TH DRA
16,11,59.6, -19,27,38, 4.01, NY SCO
18,43, 2.1, -71,25,42, 4.01, ZE PAV
19,22,38.2, -44,27,32, 4.01, BE1 SGR
20,29,23.6, +30,22,07, 4.01, 41 CYG
22,49,35.4, -13,35,33, 4.01, TA2 AQR
23,59,18.6, +06,51,48, 4.01, OM PSC
04,45,30.1, -03,15,17, 4.02, MY ERI
08,46,41.8, +28,45,36, 4.02, JO CNC
12,08,24.7, -24,43,44, 4.02, AL CRV
16,19,50.3, -50,09,20, 4.02, GA2 NOR
18,59,37.3, +15,04,06, 4.02, EP AQL
19,01,40.7, -05,44,20, 4.02, 12 AQL
21,33,58.8, +45,35,31, 4.02, RH CYG
